date,oblast,alert_hours,year,month,weekday
2022-04-01,Rivnenska oblast,2,2022,4,Friday
2022-04-01,Sumska oblast,1,2022,4,Friday
2022-04-01,Ternopilska oblast,1,2022,4,Friday
2022-04-01,Vinnytska oblast,6,2022,4,Friday
2022-04-01,Volynska oblast,1,2022,4,Friday
2022-04-01,Zakarpatska oblast,1,2022,4,Friday
2022-04-01,Zaporizka oblast,4,2022,4,Friday
2022-04-01,Zhytomyrska oblast,4,2022,4,Friday
2022-04-02,Cherkaska oblast,10,2022,4,Saturday
2022-04-02,Chernihivska oblast,0,2022,4,Saturday
2022-04-02,Chernivetska oblast,5,2022,4,Saturday
2022-04-02,Dnipropetrovska oblast,13,2022,4,Saturday
2022-04-02,Donetska oblast,13,2022,4,Saturday
2022-04-02,Ivano-Frankivska oblast,6,2022,4,Saturday
2022-04-02,Kharkivska oblast,11,2022,4,Saturday
2022-04-02,Khersonska oblast,0,2022,4,Saturday
2022-04-02,Khmelnytska oblast,6,2022,4,Saturday
2022-04-02,Kirovohradska oblast,13,2022,4,Saturday
2022-04-02,Kyiv City,7,2022,4,Saturday
2022-04-02,Kyivska oblast,8,2022,4,Saturday
2022-04-02,Lvivska oblast,5,2022,4,Saturday
2022-04-02,Mykolaivska oblast,7,2022,4,Saturday
2022-04-02,Odeska oblast,4,2022,4,Saturday
2022-04-02,Poltavska oblast,13,2022,4,Saturday
2022-04-02,Rivnenska oblast,5,2022,4,Saturday
2022-04-02,Sumska oblast,4,2022,4,Saturday
2022-04-02,Ternopilska oblast,6,2022,4,Saturday
2022-04-02,Vinnytska oblast,7,2022,4,Saturday
2022-04-02,Volynska oblast,5,2022,4,Saturday
2022-04-02,Zakarpatska oblast,5,2022,4,Saturday
2022-04-02,Zaporizka oblast,13,2022,4,Saturday
2022-04-02,Zhytomyrska oblast,4,2022,4,Saturday
2022-04-03,Cherkaska oblast,6,2022,4,Sunday
2022-04-03,Chernihivska oblast,8,2022,4,Sunday
2022-04-03,Chernivetska oblast,3,2022,4,Sunday
2022-04-03,Dnipropetrovska oblast,10,2022,4,Sunday
2022-04-03,Donetska oblast,13,2022,4,Sunday
2022-04-03,Ivano-Frankivska oblast,5,2022,4,Sunday
2022-04-03,Kharkivska oblast,15,2022,4,Sunday
2022-04-03,Khersonska oblast,0,2022,4,Sunday
2022-04-03,Khmelnytska oblast,8,2022,4,Sunday
2022-04-03,Kirovohradska oblast,5,2022,4,Sunday
